Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2010,Northeastern,Region Total,Veteran Method,Firearms,432,53.6
2010,Northeastern,Region Total,Veteran Method,Poisoning,108,13.4
2010,Northeastern,Region Total,Veteran Method,Suffocation,200,24.8
2010,Northeastern,Region Total,Veteran Method,Other suicide,66,8.2
2010,Northeastern,Connecticut,Veteran Method,Firearms,22,46.8
2010,Northeastern,Connecticut,Veteran Method,Suffocation,14,29.8
2010,Northeastern,Connecticut,Veteran Method,Other and low-count methods,11,23.4
2010,Northeastern,Maine,Veteran Method,Firearms,30,62.5
2010,Northeastern,Maine,Veteran Method,Other and low-count methods,18,37.5
2010,Northeastern,Massachusetts,Veteran Method,Firearms,32,32.7
2010,Northeastern,Massachusetts,Veteran Method,Poisoning,10,10.2
2010,Northeastern,Massachusetts,Veteran Method,Suffocation,46,46.9
2010,Northeastern,Massachusetts,Veteran Method,Other suicide,10,10.2
2010,Northeastern,New Hampshire,Veteran Method,Other and low-count methods,35,100
2010,Northeastern,New Jersey,Veteran Method,Firearms,31,39.2
2010,Northeastern,New Jersey,Veteran Method,Suffocation,28,35.4
2010,Northeastern,New Jersey,Veteran Method,Other and low-count methods,20,25.3
2010,Northeastern,New York,Veteran Method,Firearms,102,52
2010,Northeastern,New York,Veteran Method,Poisoning,27,13.8
2010,Northeastern,New York,Veteran Method,Suffocation,48,24.5
2010,Northeastern,New York,Veteran Method,Other suicide,19,9.7
2010,Northeastern,Pennsylvania,Veteran Method,Firearms,170,63.4
2010,Northeastern,Pennsylvania,Veteran Method,Poisoning,36,13.4
2010,Northeastern,Pennsylvania,Veteran Method,Suffocation,45,16.8
2010,Northeastern,Pennsylvania,Veteran Method,Other suicide,17,6.3
2010,Northeastern,Rhode Island,Veteran Method,Other and low-count methods,17,100
2010,Northeastern,Vermont,Veteran Method,Other and low-count methods,18,100
2010,Midwestern,Region Total,Veteran Method,Firearms,936,66.7
2010,Midwestern,Region Total,Veteran Method,Poisoning,195,13.9
