FIPS,county_name,total_households,living_alone,pct_living_alone
09180,"Southeastern Connecticut Planning Region, Connecticut",113810.0,34743.0,30.53
09190,"Western Connecticut Planning Region, Connecticut",230507.0,57320.0,24.87
10001,"Kent County, Delaware",68705.0,17783.0,25.88
10003,"New Castle County, Delaware",220437.0,67219.0,30.49
10005,"Sussex County, Delaware",99858.0,27121.0,27.16
11001,"District of Columbia, District of Columbia",315785.0,146319.0,46.34
12001,"Alachua County, Florida",108597.0,38117.0,35.1
12003,"Baker County, Florida",9004.0,1539.0,17.09
12005,"Bay County, Florida",74678.0,20883.0,27.96
12007,"Bradford County, Florida",9067.0,2659.0,29.33
12009,"Brevard County, Florida",246650.0,75017.0,30.41
12011,"Broward County, Florida",741973.0,218328.0,29.43
12013,"Calhoun County, Florida",4448.0,1549.0,34.82
12015,"Charlotte County, Florida",84671.0,24153.0,28.53
12017,"Citrus County, Florida",67551.0,20572.0,30.45
12019,"Clay County, Florida",79704.0,15858.0,19.9
12021,"Collier County, Florida",156768.0,43843.0,27.97
12023,"Columbia County, Florida",26391.0,7758.0,29.4
12027,"DeSoto County, Florida",12340.0,3293.0,26.69
12029,"Dixie County, Florida",6164.0,1641.0,26.62
12031,"Duval County, Florida",396132.0,126338.0,31.89
12033,"Escambia County, Florida",126537.0,38658.0,30.55
12035,"Flagler County, Florida",47549.0,10617.0,22.33
12037,"Franklin County, Florida",4761.0,1513.0,31.78
12039,"Gadsden County, Florida",15885.0,5158.0,32.47
12041,"Gilchrist County, Florida",6872.0,1622.0,23.6
12043,"Glades County, Florida",4637.0,1187.0,25.6
12045,"Gulf County, Florida",5648.0,1568.0,27.76
12047,"Hamilton County, Florida",4300.0,878.0,20.42
12049,"Hardee County, Florida",8127.0,1719.0,21.15
12051,"Hendry County, Florida",13289.0,2783.0,20.94
12053,"Hernando County, Florida",79169.0,20416.0,25.79
12055,"Highlands County, Florida",44685.0,13583.0,30.4
12057,"Hillsborough County, Florida",559970.0,159543.0,28.49
12059,"Holmes County, Florida",7069.0,2198.0,31.09
12061,"Indian River County, Florida",65735.0,21409.0,32.57
12063,"Jackson County, Florida",16880.0,5354.0,31.72
12065,"Jefferson County, Florida",5519.0,1655.0,29.99
12067,"Lafayette County, Florida",2555.0,706.0,27.63
12069,"Lake County, Florida",153817.0,38733.0,25.18
12071,"Lee County, Florida",311348.0,88615.0,28.46
