FIPS,elevation_meters,elevation_feet
08051,3167.0,10390.42028
08053,3383.0,11099.08172
08055,2021.0,6630.5776399999995
08057,2476.0,8123.35984
08059,2310.0,7578.7404
08061,1213.0,3979.65892
08063,1343.0,4406.16812
08065,2885.0,9465.2234
08067,2189.0,7181.75876
08069,2383.0,7818.24172
08071,1597.0,5239.50148
08073,1575.0,5167.323
08075,1173.0,3848.42532
08077,1514.0,4967.19176
08079,3605.0,11827.4282
08081,2108.0,6916.01072
08083,1878.0,6161.41752
08085,2718.0,8917.32312
08087,1318.0,4324.14712
08089,1329.0,4360.23636
08091,2241.0,7352.36244
08093,2807.0,9209.31788
08095,1150.0,3772.966
08097,2478.0,8129.92152
08099,1122.0,3681.10248
08101,1469.0,4819.55396
08103,1975.0,6479.659
08105,3443.0,11295.93212
08107,1985.0,6512.4673999999995
08109,2618.0,8589.23912
08111,3029.0,9937.66436
08113,2562.0,8405.51208
08115,1174.0,3851.70616
08117,3591.0,11781.49644
08119,2840.0,9317.5856
08121,1428.0,4685.03952
08123,1452.0,4763.77968
08125,1163.0,3815.61692
10001,16.0,52.49344
10003,17.0,55.77428
10005,31.0,101.70604
11001,24.0,78.74016
12001,64.0,209.97376
12003,45.0,147.6378
12005,13.0,42.65092
12007,47.0,154.19948
12009,4.0,13.12336
12011,3.0,9.84252
12013,32.0,104.98688
12015,6.0,19.68504
12017,6.0,19.68504
12019,28.0,91.86352
12021,14.0,45.93176
12023,56.0,183.72704
12027,19.0,62.33596
12029,9.0,29.52756
12031,8.0,26.24672
12033,39.0,127.95276
12035,13.0,42.65092
12037,2.0,6.56168
12039,78.0,255.90552
12041,30.0,98.4252
12043,6.0,19.68504
12045,4.0,13.12336
12047,39.0,127.95276
12049,17.0,55.77428
12051,9.0,29.52756
12053,19.0,62.33596
12055,26.0,85.30184
12057,5.0,16.4042
12059,32.0,104.98688
12061,8.0,26.24672
12063,32.0,104.98688
12065,43.0,141.07612
12067,26.0,85.30184
12069,28.0,91.86352
12071,3.0,9.84252
12073,56.0,183.72704
12075,11.0,36.08924
12077,30.0,98.4252
12079,46.0,150.91864
12081,12.0,39.37008
12083,25.0,82.021
12085,8.0,26.24672
12086,1.0,3.28084
12087,1.0,3.28084
12089,12.0,39.37008
12091,66.0,216.53544
12093,9.0,29.52756
12095,35.0,114.82939999999999
12097,25.0,82.021
12099,3.0,9.84252
12101,21.0,68.89764
12103,23.0,75.45932
12105,43.0,141.07612
12107,8.0,26.24672
12109,14.0,45.93176
12111,6.0,19.68504
12113,30.0,98.4252
12115,6.0,19.68504
12117,16.0,52.49344
12119,24.0,78.74016
12121,34.0,111.54856
12123,23.0,75.45932
12125,48.0,157.48032
12127,12.0,39.37008
12129,7.0,22.96588
12131,48.0,157.48032
12133,39.0,127.95276
13001,62.0,203.41208
13003,63.0,206.69292
13005,61.0,200.13124
13007,53.0,173.88452
13009,121.0,396.98163999999997
13011,247.0,810.36748
13013,313.0,1026.90292
13015,248.0,813.64832
13017,82.0,269.02888
13019,84.0,275.59056
13021,121.0,396.98163999999997
13023,126.0,413.38584
13025,20.0,65.6168
13027,54.0,177.16536
13029,23.0,75.45932
13031,62.0,203.41208
13033,101.0,331.36484
13035,218.0,715.22312
13037,68.0,223.09712
13039,8.0,26.24672
13043,72.0,236.22048
13045,334.0,1095.80056
13047,264.0,866.14176
13049,38.0,124.67192
13051,16.0,52.49344
13053,109.0,357.61156
13055,209.0,685.69556
13057,268.0,879.26512
13059,191.0,626.64044
13061,124.0,406.82416
13063,264.0,866.14176
13065,52.0,170.60368
13067,337.0,1105.64308
13069,84.0,275.59056
