FIPS,county_name,median_age
15009,"Maui County, Hawaii",42.2
16001,"Ada County, Idaho",38.1
16003,"Adams County, Idaho",54.4
16005,"Bannock County, Idaho",34.7
16007,"Bear Lake County, Idaho",40.0
16009,"Benewah County, Idaho",45.9
16011,"Bingham County, Idaho",34.3
16013,"Blaine County, Idaho",44.5
16015,"Boise County, Idaho",53.7
16017,"Bonner County, Idaho",48.3
16019,"Bonneville County, Idaho",33.2
16021,"Boundary County, Idaho",43.6
16023,"Butte County, Idaho",43.1
16025,"Camas County, Idaho",36.5
16027,"Canyon County, Idaho",34.4
16029,"Caribou County, Idaho",37.9
16031,"Cassia County, Idaho",33.1
16033,"Clark County, Idaho",37.6
16035,"Clearwater County, Idaho",52.3
16037,"Custer County, Idaho",55.5
16039,"Elmore County, Idaho",32.3
16041,"Franklin County, Idaho",32.6
16043,"Fremont County, Idaho",39.0
16045,"Gem County, Idaho",44.0
16047,"Gooding County, Idaho",38.3
16049,"Idaho County, Idaho",49.5
16051,"Jefferson County, Idaho",31.7
16053,"Jerome County, Idaho",33.0
