Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2008,Midwestern,Illinois,197,809000,24.4
2008,Midwestern,Indiana,176,507000,34.7
2008,Midwestern,Iowa,65,255000,25.5
2008,Midwestern,Kansas,57,237000,24.1
2008,Midwestern,Michigan,194,763000,25.4
2008,Midwestern,Minnesota,102,406000,25.1
2008,Midwestern,Missouri,144,543000,26.5
2008,Midwestern,Nebraska,35,152000,23
2008,Midwestern,North Dakota,10,59000,16.9*
2008,Midwestern,Ohio,254,987000,25.7
2008,Midwestern,South Dakota,17,80000,21.3*
2008,Midwestern,Wisconsin,135,456000,29.6
2008,Southern,Alabama,120,428000,28
2008,Southern,Arkansas,86,266000,32.3
2008,Southern,Delaware,16,83000,19.3*
2008,Southern,District of Columbia,<10,33000,--
2008,Southern,Florida,561,1770000,31.7
2008,Southern,Georgia,188,739000,25.4
2008,Southern,Kentucky,115,351000,32.8
2008,Southern,Louisiana,98,347000,28.2
2008,Southern,Maryland,94,460000,20.4
2008,Southern,Mississippi,83,224000,37.1
2008,Southern,North Carolina,208,797000,26.1
2008,Southern,Oklahoma,123,348000,35.3
2008,Southern,South Carolina,111,420000,26.4
2008,Southern,Tennessee,164,542000,30.3
2008,Southern,Texas,454,1712000,26.5
2008,Southern,Virginia,174,778000,22.4
2008,Southern,West Virginia,48,172000,27.9
2008,Western,Alaska,21,74000,28.4
2008,Western,Arizona,194,537000,36.1
2008,Western,California,622,2107000,29.5
2008,Western,Colorado,173,423000,40.9
2008,Western,Hawaii,19,120000,15.8*
2008,Western,Idaho,59,131000,45
2008,Western,Montana,49,98000,50
2008,Western,Nevada,132,235000,56.2
2008,Western,New Mexico,62,176000,35.2
2008,Western,Oregon,125,358000,34.9
2008,Western,Utah,52,156000,33.3
2008,Western,Washington,178,622000,28.6
2008,Western,Wyoming,31,48000,64.6
2008,All,U.S. Total,6579,23483000,28
2009,Northeastern,Connecticut,42,237000,17.7
2009,Northeastern,Maine,42,136000,30.9
2009,Northeastern,Massachusetts,81,422000,19.2
2009,Northeastern,New Hampshire,30,119000,25.2
2009,Northeastern,New Jersey,73,484000,15.1
2009,Northeastern,New York,201,1034000,19.4
2009,Northeastern,Pennsylvania,280,1013000,27.6
2009,Northeastern,Rhode Island,18,76000,23.7*
2009,Northeastern,Vermont,13,52000,25.0*
2009,Midwestern,Illinois,178,796000,22.4
2009,Midwestern,Indiana,135,506000,26.7
2009,Midwestern,Iowa,74,252000,29.4
2009,Midwestern,Kansas,73,234000,31.2
2009,Midwestern,Michigan,212,740000,28.6
2009,Midwestern,Minnesota,97,400000,24.3
2009,Midwestern,Missouri,168,529000,31.8
2009,Midwestern,Nebraska,44,151000,29.1
2009,Midwestern,North Dakota,11,60000,18.3*
2009,Midwestern,Ohio,208,967000,21.5
2009,Midwestern,South Dakota,28,78000,35.9
2009,Midwestern,Wisconsin,130,442000,29.4
2009,Southern,Alabama,154,421000,36.6
2009,Southern,Arkansas,77,262000,29.4
2009,Southern,Delaware,13,83000,15.7*
2009,Southern,District of Columbia,<10,32000,--
2009,Southern,Florida,559,1733000,32.3
2009,Southern,Georgia,213,742000,28.7
2009,Southern,Kentucky,101,346000,29.2
2009,Southern,Louisiana,89,347000,25.6
2009,Southern,Maryland,86,454000,18.9
2009,Southern,Mississippi,76,226000,33.6
2009,Southern,North Carolina,182,792000,23
2009,Southern,Oklahoma,105,343000,30.6
2009,Southern,South Carolina,123,423000,29.1
2009,Southern,Tennessee,177,541000,32.7
2009,Southern,Texas,464,1696000,27.4
2009,Southern,Virginia,183,775000,23.6
2009,Southern,West Virginia,53,166000,31.9
2009,Western,Alaska,30,71000,42.3
2009,Western,Arizona,206,541000,38.1
2009,Western,California,597,2058000,29
2009,Western,Colorado,179,421000,42.5
2009,Western,Hawaii,22,116000,19
2009,Western,Idaho,59,134000,44
2009,Western,Montana,51,98000,52
2009,Western,Nevada,104,232000,44.8
2009,Western,New Mexico,80,174000,46
2009,Western,Oregon,123,358000,34.4
2009,Western,Utah,66,150000,44
2009,Western,Washington,201,612000,32.8
2009,Western,Wyoming,22,48000,45.8
2009,All,U.S. Total,6537,23123000,28.3
2010,Northeastern,Connecticut,47,235000,20
2010,Northeastern,Maine,48,137000,35
2010,Northeastern,Massachusetts,98,416000,23.6
2010,Northeastern,New Hampshire,35,120000,29.2
2010,Northeastern,New Jersey,79,469000,16.8
2010,Northeastern,New York,196,1003000,19.5
2010,Northeastern,Pennsylvania,268,1003000,26.7
2010,Northeastern,Rhode Island,17,75000,22.7*
2010,Northeastern,Vermont,18,49000,36.7*
2010,Midwestern,Illinois,173,779000,22.2
2010,Midwestern,Indiana,136,500000,27.2
2010,Midwestern,Iowa,73,250000,29.2
2010,Midwestern,Kansas,69,235000,29.4
2010,Midwestern,Michigan,191,729000,26.2
2010,Midwestern,Minnesota,96,396000,24.2
2010,Midwestern,Missouri,172,526000,32.7
2010,Midwestern,Nebraska,35,150000,23.3
2010,Midwestern,North Dakota,23,58000,39.7
2010,Midwestern,Ohio,273,954000,28.6
2010,Midwestern,South Dakota,19,77000,24.7*
2010,Midwestern,Wisconsin,143,440000,32.5
2010,Southern,Alabama,126,423000,29.8
2010,Southern,Arkansas,87,257000,33.9
2010,Southern,Delaware,14,77000,18.2*
2010,Southern,District of Columbia,<10,32000,--
2010,Southern,Florida,567,1709000,33.2
2010,Southern,Georgia,190,751000,25.3
2010,Southern,Kentucky,111,336000,33
2010,Southern,Louisiana,107,342000,31.3
2010,Southern,Maryland,81,447000,18.1
2010,Southern,Mississippi,77,222000,34.7
2010,Southern,North Carolina,194,787000,24.7
2010,Southern,Oklahoma,115,341000,33.7
2010,Southern,South Carolina,119,420000,28.3
2010,Southern,Tennessee,143,540000,26.5
2010,Southern,Texas,502,1689000,29.7
2010,Southern,Virginia,171,778000,22
2010,Southern,West Virginia,60,165000,36.4
2010,Western,Alaska,27,71000,38
2010,Western,Arizona,203,536000,37.9
2010,Western,California,570,2021000,28.2
2010,Western,Colorado,141,422000,33.4
2010,Western,Hawaii,21,122000,17.2
2010,Western,Idaho,59,135000,43.7
2010,Western,Montana,59,100000,59
2010,Western,Nevada,120,238000,50.4
2010,Western,New Mexico,71,178000,39.9
2010,Western,Oregon,137,352000,38.9
2010,Western,Utah,67,152000,44.1
2010,Western,Washington,179,616000,29.1
2010,Western,Wyoming,27,46000,58.7
2010,All,U.S. Total,6561,22906000,28.6
2011,Northeastern,Connecticut,56,233000,24
2011,Northeastern,Maine,49,132000,37.1
2011,Northeastern,Massachusetts,74,403000,18.4
2011,Northeastern,New Hampshire,34,121000,28.1
2011,Northeastern,New Jersey,78,468000,16.7
2011,Northeastern,New York,231,961000,24
2011,Northeastern,Pennsylvania,270,991000,27.2
2011,Northeastern,Rhode Island,17,74000,23.0*
2011,Northeastern,Vermont,30,52000,57.7
2011,Midwestern,Illinois,158,765000,20.7
2011,Midwestern,Indiana,132,491000,26.9
2011,Midwestern,Iowa,78,243000,32.1
2011,Midwestern,Kansas,59,228000,25.9
2011,Midwestern,Michigan,193,703000,27.5
2011,Midwestern,Minnesota,109,394000,27.7
2011,Midwestern,Missouri,146,516000,28.3
2011,Midwestern,Nebraska,39,148000,26.4
2011,Midwestern,North Dakota,22,62000,35.5
2011,Midwestern,Ohio,250,933000,26.8
2011,Midwestern,South Dakota,23,78000,29.5
2011,Midwestern,Wisconsin,110,433000,25.4
2011,Southern,Alabama,127,421000,30.2
2011,Southern,Arkansas,83,251000,33.1
2011,Southern,Delaware,16,80000,20.0*
2011,Southern,District of Columbia,<10,32000,--
2011,Southern,Florida,547,1679000,32.6
2011,Southern,Georgia,193,749000,25.8
2011,Southern,Kentucky,117,329000,35.6
2011,Southern,Louisiana,81,336000,24.1
2011,Southern,Maryland,92,449000,20.5
2011,Southern,Mississippi,63,221000,28.5
2011,Southern,North Carolina,202,783000,25.8
2011,Southern,Oklahoma,127,338000,37.6
2011,Southern,South Carolina,123,418000,29.4
2011,Southern,Tennessee,163,534000,30.5
2011,Southern,Texas,493,1686000,29.2
2011,Southern,Virginia,181,777000,23.3
2011,Southern,West Virginia,60,164000,36.6
2011,Western,Alaska,19,74000,25.7*
2011,Western,Arizona,207,536000,38.6
2011,Western,California,600,1988000,30.2
2011,Western,Colorado,142,422000,33.6
2011,Western,Hawaii,24,121000,19.8
2011,Western,Idaho,58,130000,44.6
2011,Western,Montana,59,102000,57.8
2011,Western,Nevada,81,237000,34.2
2011,Western,New Mexico,70,174000,40.2
2011,Western,Oregon,139,351000,39.6
2011,Western,Utah,55,153000,35.9
2011,Western,Washington,162,607000,26.7
2011,Western,Wyoming,25,50000,50
2011,All,U.S. Total,6470,22621000,28.6
2012,Northeastern,Connecticut,44,228000,19.3
2012,Northeastern,Maine,38,129000,29.5
