pwsid,violation_id,facility_id,population_served_count,npm_candidate,pws_activity_code,pws_deactivation_date,primary_source_code,pop_cat_5_code,primacy_agency_code,epa_region,pws_type_code,violation_code,violation_category_code,is_health_based_ind,contaminant_code,compliance_status_code,viol_measure,unit_of_measure,state_mcl,is_major_viol_ind,severity_ind_cnt,compl_per_begin_date,compl_per_end_date,latest_enforcement_id,rtc_enforcement_id,rtc_date,public_notification_tier,originator_code,sample_result_id,corrective_action_id,rule_code,rule_group_code,rule_family_code
MA4334018,22,,50,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,20.0,,,3,S,,,500,500,500
MA4334018,22,,50,N,A,,GW,1,MA,1,TNCWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,20.0,,,3,S,,,500,500,500
MA4334018,22,,50,N,I,2025-10-24 00:00:00,GW,1,MA,1,TNCWS,3,MR,N,1030,I,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,20.0,,2025-10-24 00:00:00,3,S,,,500,500,500
MA4334018,22,,50,Y,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,20.0,,,3,S,,,500,500,500
ME0093313,113925,,0,N,N,2020-12-31 00:00:00,,1,ME,1,TNCWS,3,MR,N,1030,I,,,,Y,,2011-01-01 00:00:00,2011-12-31 00:00:00,620917.0,,2020-12-31 00:00:00,3,S,,,500,500,500
MI0004600,4001119,,95,N,A,,GW,1,MI,5,CWS,3,MR,N,1030,R,,,,Y,,2013-01-01 00:00:00,2015-12-31 00:00:00,4002044.0,4002044.0,2016-08-15 00:00:00,3,S,,,500,500,500
MI0006920,1000216,,575,N,A,,GW,2,MI,5,CWS,3,MR,N,1030,R,,,,Y,,2013-01-01 00:00:00,2015-12-31 00:00:00,1001434.0,1001434.0,2016-09-15 00:00:00,3,S,,,500,500,500
MI2020352,2330561,4751.0,150,N,A,,GW,1,MI,5,NTNCWS,2,MCL,Y,1030,K,0.021,MG/L,,,,2017-07-01 00:00:00,2023-08-31 00:00:00,,,,2,S,,,500,500,500
MI2020352,2330561,4751.0,150,Y,A,,GW,1,MI,5,NTNCWS,2,MCL,Y,1030,K,0.021,MG/L,,,,2017-07-01 00:00:00,2023-08-31 00:00:00,,,,2,S,,,500,500,500
MI2033814,1711945,23546.0,80,N,A,,GW,1,MI,5,NTNCWS,2,MCL,Y,1030,K,0.026,MG/L,,,,2023-04-01 00:00:00,2023-05-31 00:00:00,234000715.0,,,2,S,,,500,500,500
