FIPS,total_employees,mining_employees,mining_establishments,bar_establishments,bar_employees,extraction_employment_pct
47085,4400,0.0,0.0,0.0,0.0,0.0
47087,1083,0.0,0.0,0.0,0.0,0.0
47089,11723,203.0,3.0,0.0,0.0,1.731638659046319
47091,3396,0.0,0.0,0.0,0.0,0.0
47093,224143,187.0,10.0,39.0,471.0,0.08342888245450449
47095,526,0.0,0.0,0.0,0.0,0.0
47097,4932,0.0,0.0,0.0,0.0,0.0
47099,8908,0.0,0.0,0.0,0.0,0.0
47101,2626,0.0,0.0,0.0,0.0,0.0
47103,6516,0.0,0.0,0.0,0.0,0.0
47105,14214,0.0,0.0,0.0,0.0,0.0
47107,17118,19.0,3.0,0.0,0.0,0.11099427503212993
47109,4253,0.0,0.0,0.0,0.0,0.0
47111,3813,0.0,0.0,0.0,0.0,0.0
47113,54026,0.0,0.0,3.0,14.0,0.0
47115,6246,0.0,0.0,0.0,0.0,0.0
47117,7763,51.0,4.0,0.0,0.0,0.6569625144918202
47119,31476,0.0,0.0,5.0,25.0,0.0
47121,1906,0.0,0.0,0.0,0.0,0.0
47123,12618,0.0,0.0,0.0,0.0,0.0
47125,46641,49.0,5.0,12.0,181.0,0.10505778177997899
47127,1025,0.0,0.0,0.0,0.0,0.0
47131,8730,0.0,0.0,0.0,0.0,0.0
48011,235,0.0,0.0,0.0,0.0,0.0
48013,10575,2150.0,41.0,0.0,0.0,20.33096926713948
48025,5114,192.0,17.0,3.0,12.0,3.7543996871333594
48033,17,0.0,0.0,0.0,0.0,0.0
48035,2689,89.0,4.0,0.0,0.0,3.3097805875790254
48037,33009,31.0,4.0,0.0,0.0,0.09391378109000575
48045,150,0.0,0.0,0.0,0.0,0.0
48047,1296,16.0,4.0,0.0,0.0,1.2345679012345678
48065,915,8.0,3.0,0.0,0.0,0.8743169398907104
48071,16363,598.0,20.0,0.0,0.0,3.6545865672553934
48077,894,10.0,6.0,0.0,0.0,1.1185682326621924
48079,211,0.0,0.0,0.0,0.0,0.0
48081,234,33.0,5.0,0.0,0.0,14.102564102564102
48083,1588,42.0,10.0,0.0,0.0,2.644836272040302
48087,432,0.0,0.0,0.0,0.0,0.0
48089,5861,388.0,18.0,0.0,0.0,6.6200307114826815
48097,12978,529.0,39.0,0.0,0.0,4.076128833410387
48101,71,0.0,0.0,0.0,0.0,0.0
48103,973,258.0,11.0,0.0,0.0,26.515930113052416
48105,765,113.0,18.0,0.0,0.0,14.77124183006536
48107,455,0.0,0.0,0.0,0.0,0.0
48109,834,0.0,0.0,0.0,0.0,0.0
48111,1989,0.0,0.0,0.0,0.0,0.0
48117,6058,0.0,0.0,0.0,0.0,0.0
48119,315,0.0,0.0,0.0,0.0,0.0
48121,241003,612.0,35.0,60.0,664.0,0.2539387476504442
48125,195,0.0,0.0,0.0,0.0,0.0
48127,3201,1026.0,29.0,0.0,0.0,32.052483598875355
48129,365,0.0,0.0,0.0,0.0,0.0
48131,1568,232.0,17.0,0.0,0.0,14.795918367346939
48201,1980428,32919.0,879.0,503.0,5632.0,1.6622164501814758
48133,5390,1069.0,36.0,0.0,0.0,19.833024118738404
47133,4065,18.0,3.0,0.0,0.0,0.44280442804428044
47135,1462,0.0,0.0,0.0,0.0,0.0
47137,581,0.0,0.0,0.0,0.0,0.0
47139,1415,0.0,0.0,0.0,0.0,0.0
47141,31708,30.0,5.0,5.0,58.0,0.09461334678945377
47143,8599,0.0,0.0,0.0,0.0,0.0
47145,8777,0.0,0.0,0.0,0.0,0.0
47147,20172,0.0,0.0,0.0,0.0,0.0
47149,114754,91.0,7.0,13.0,78.0,0.07930006797148684
47151,3600,0.0,0.0,0.0,0.0,0.0
47153,1995,0.0,0.0,0.0,0.0,0.0
47155,44545,0.0,0.0,0.0,0.0,0.0
47157,429454,85.0,5.0,48.0,520.0,0.01979257382630037
47159,4164,420.0,4.0,0.0,0.0,10.086455331412104
47161,1573,0.0,0.0,0.0,0.0,0.0
47163,58769,39.0,4.0,4.0,29.0,0.06636151712637615
47165,50800,40.0,3.0,0.0,0.0,0.07874015748031496
47167,10191,0.0,0.0,0.0,0.0,0.0
47169,1393,0.0,0.0,0.0,0.0,0.0
47171,3960,0.0,0.0,0.0,0.0,0.0
